0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:32 +0700] "GET /ABCNews/NewsListServlet?cat=cat2 HTTP/1.1" 200 14189
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:32 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:32 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:33 +0700] "GET /ABCNews/NewsListServlet?cat=cat1 HTTP/1.1" 200 11039
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:33 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:33 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:34 +0700] "GET /ABCNews/NewsListServlet?cat=cat1 HTTP/1.1" 200 11039
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:34 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:34 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:35 +0700] "GET /ABCNews/NewsListServlet?cat=cat2 HTTP/1.1" 200 14189
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:35 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:35 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:36 +0700] "GET /ABCNews/NewsListServlet?cat=cat3 HTTP/1.1" 200 13741
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:36 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
